id	category	name	description	xref	provided_by	synonym	deprecated	iri	same_as	subsets
MONDO:1011752	biolink:Disease	nasal parakeratosis, non-human animal		OMIA:001373	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011752		
MONDO:1011753	biolink:Disease	juvenile with age-dependent emphysema hypotrichosis, non-human animal		OMIA:001458	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011753		
MONDO:1011754	biolink:Disease	reactive perforating collagenosis, non-human animal		OMIA:001476	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011754		
MONDO:1011755	biolink:Disease	sebaceous adenitis, non-human animal		OMIA:001563	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011755		
MONDO:1011756	biolink:Disease	exfoliative cutaneous lupus erythematosus, non-human animal		OMIA:001609	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011756		
MONDO:1011757	biolink:Disease	sebaceous gland dysplasia, non-human animal		OMIA:001710	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011757		
MONDO:1011758	biolink:Disease	zinc deficiency-like syndrome, non-human animal		OMIA:001935	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011758		
MONDO:1011759	biolink:Disease	hypotrichosis with short life expectancy, non-human animal		OMIA:001949	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011759		
MONDO:1011760	biolink:Disease	symmetrical onychomadesis, non-human animal		OMIA:001989	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011760		
MONDO:1011761	biolink:Disease	naked foal syndrome, non-human animal		OMIA:002096	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011761		
MONDO:1011762	biolink:Disease	verrucous epidermal keratinocytic nevi, non-human animal		OMIA:002117	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011762		
MONDO:1011763	biolink:Disease	lethal acrodermatitis, non-human animal		OMIA:002146	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011763		
MONDO:1011764	biolink:Disease	ichthyosis fetalis, non-human animal		OMIA:002193	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011764		
MONDO:1011765	biolink:Disease	micromelia, non-human animal		OMIA:000648	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011765		
MONDO:1011766	biolink:Disease	warts between hooves, non-human animal		OMIA:001060	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011766		
MONDO:1011767	biolink:Disease	laminitis, non-human animal		OMIA:001225	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011767		
MONDO:1011768	biolink:Disease	bone spavin, non-human animal		OMIA:001232	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011768		
MONDO:1011769	biolink:Disease	dysplasia epiphysealis hememelica, non-human animal		OMIA:001361	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011769		
MONDO:1011770	biolink:Disease	necrosis of digits, non-human animal		OMIA:001665	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011770		
MONDO:1011771	biolink:Disease	medial coronoid disease, non-human animal		OMIA:001863	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011771		
MONDO:1011772	biolink:Disease	hoof wall separation syndrome, non-human animal		OMIA:001897	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011772		
MONDO:1011773	biolink:Disease	degenerative suspensory ligament desmitis, non-human animal		OMIA:002086	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011773		
MONDO:1011774	biolink:Disease	digital dermatitis, non-human animal		OMIA:002224	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011774		
MONDO:1011775	biolink:Disease	idiopathic hepatic fibrosis, non-human animal		OMIA:000454	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011775		
MONDO:1011776	biolink:Disease	inborn error of hepatic metabolism, non-human animal		OMIA:000561	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011776		
MONDO:1011777	biolink:Disease	portosystemic hepatic encephalopathy, non-human animal		OMIA:000816	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011777		
MONDO:1011778	biolink:Disease	chronic active hepatitis, non-human animal		OMIA:001093	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011778		
MONDO:1011779	biolink:Disease	neonatal hepatitis, non-human animal		OMIA:001094	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011779		
MONDO:1011780	biolink:Disease	gallbladder mucocele, non-human animal		OMIA:001524	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011780		
MONDO:1011781	biolink:Disease	congential hepatic fibrosis, non-human animal		OMIA:002392	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011781		
MONDO:1011782	biolink:Disease	hepatocellular fibrinogen storage disease, non-human animal		OMIA:002582	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011782		
MONDO:1011783	biolink:Disease	alpha fucosidosis, non-human animal		OMIA:000396	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011783		
MONDO:1011784	biolink:Disease	premature senesence, non-human animal		OMIA:001213	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011784		
MONDO:1011785	biolink:Disease	lethal multi-organ developmental dysplasia, non-human animal		OMIA:001722	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011785		
MONDO:1011786	biolink:Disease	perinatal weak calf syndrome, non-human animal		OMIA:001817	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011786		
MONDO:1011787	biolink:Disease	degenerative myopathy of deep pectoral muscle, non-human animal		OMIA:000264	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011787		
MONDO:1011788	biolink:Disease	degenerative myopathy of obturator-externus, non-human animal		OMIA:000265	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011788		
MONDO:1011789	biolink:Disease	fibrodysplasia ossificans, non-human animal		OMIA:000388	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011789		
MONDO:1011790	biolink:Disease	dysphagia-associated muscular dystrophy, non-human animal		OMIA:000681	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011790		
MONDO:1011791	biolink:Disease	mitochondrial myopathy, non-human animal		OMIA:000695	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011791		
MONDO:1011792	biolink:Disease	subacute progressive myopathy, non-human animal		OMIA:000696	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011792		
MONDO:1011793	biolink:Disease	progressive myopathy, non-human animal		OMIA:000829	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011793		
MONDO:1011794	biolink:Disease	spastic lameness, non-human animal		OMIA:000926	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011794		
MONDO:1011795	biolink:Disease	masticatory muscle myositis, non-human animal		OMIA:001134	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011795		
MONDO:1011796	biolink:Disease	high-frequency tremor, non-human animal		OMIA:001200	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011796		
MONDO:1011797	biolink:Disease	myopathy of the diaphragmatic muscles, non-human animal		OMIA:001319	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011797		
MONDO:1011798	biolink:Disease	forelimb-girdle muscular anomaly, non-human animal		OMIA:001442	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011798		
MONDO:1011799	biolink:Disease	inherited periodic spasticity, non-human animal		OMIA:001453	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011799		
MONDO:1011800	biolink:Disease	contractural arachnodactyly, non-human animal		OMIA:001511	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011800		
MONDO:1011801	biolink:Disease	type 2 polysaccharide storage myopathy, non-human animal		OMIA:001537	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011801		
MONDO:1011802	biolink:Disease	congenital merosin-deficient muscular dystrophy, non-human animal		OMIA:001619	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011802		
MONDO:1011803	biolink:Disease	muscular dystrophy-dystroglycanopathy (limb-girdle), non-human animal		OMIA:001621	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011803		
MONDO:1011804	biolink:Disease	congenital myopathy with fiber-type disproportion, non-human animal		OMIA:001796	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011804		
MONDO:1011805	biolink:Disease	exercise induced metabolic myopathy, non-human animal		OMIA:002140	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011805		
MONDO:1011806	biolink:Disease	immune-mediated myositis, non-human animal		OMIA:002141	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011806		
MONDO:1011807	biolink:Disease	atypical myopathy, non-human animal		OMIA:002480	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011807		
MONDO:1011808	biolink:Disease	Hodgkin disease, non-human animal		OMIA:000476	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011808		
MONDO:1011809	biolink:Disease	multiple lipomatosis, non-human animal		OMIA:000606	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011809		
MONDO:1011810	biolink:Disease	megakaryoblastic leukemia, non-human animal		OMIA:000630	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011810		
MONDO:1011811	biolink:Disease	congenital melanoma, non-human animal		OMIA:000634	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011811		
MONDO:1011812	biolink:Disease	ocular squamous cell carcinoma, non-human animal		OMIA:000735	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011812		
MONDO:1011813	biolink:Disease	sarcoid, non-human animal		OMIA:000888	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011813		
MONDO:1011814	biolink:Disease	melanoblastoma, non-human animal		OMIA:001324	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011814		
MONDO:1011815	biolink:Disease	renal cystadenocarcinoma and nodular dermatofibrosis, non-human animal		OMIA:001335	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011815		
MONDO:1011816	biolink:Disease	lymphoproliferative disease, non-human animal		OMIA:001409	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011816		
MONDO:1011817	biolink:Disease	anal sac gland carcinoma, non-human animal		OMIA:001500	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011817		
MONDO:1011818	biolink:Disease	invasive transitional cell carcinoma, non-human animal		OMIA:001512	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011818		
MONDO:1011819	biolink:Disease	chronic myelogenous leukemia, non-human animal		OMIA:001513	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011819		
MONDO:1011820	biolink:Disease	colorectal hamartomatous polyposis and ganglioneuromatosis, non-human animal		OMIA:001515	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011820		
