source	target
UMLS:C0003232	UMLS:C1264606
UMLS:C0392938	MONDO:0021165
CHEBI:31856	MONDO:0021165
CHEBI:9598	MONDO:0021165
UMLS:C0162357	MONDO:0021165
CHEBI:4907	MONDO:0021165
CHEBI:135917	MONDO:0021165
CHEBI:46557	MONDO:0021165
CHEBI:8869	MONDO:0021165
MESH:D004164	MONDO:0021165
CHEBI:7903	MONDO:0021165
CHEBI:2567	MONDO:0021165
UMLS:C0450442	MONDO:0021165
CHEBI:3306	MONDO:0021165
MESH:D002116	MONDO:0021165
PUBCHEM.COMPOUND:436058	UMLS:C0694571
MESH:D000305	MONDO:0002465
MESH:D000077330	MONDO:0002465
CHEBI:4463	MONDO:0002465
UMLS:C0006280	MONDO:0002465
CHEBI:2549	MONDO:0002465
CHEBI:28918	MONDO:0002465
CHEBI:25805	MONDO:0002465
UMLS:C0591251	MONDO:0001246
CHEBI:100241	MONDO:0005936
CHEBI:10023	MONDO:0005936
CHEBI:34650	MONDO:0005936
UMLS:C0450442	MONDO:0005936
UMLS:C1136254	MONDO:0005936
UMLS:C0003232	MONDO:0005936
MESH:D000305	MONDO:0005922
UMLS:C0003280	MONDO:0006786
CHEBI:167309	UMLS:C0700285
UNII:4F4X42SYQ6	MONDO:0019139
CHEBI:8428	UMLS:C0750197
CHEBI:175901	UMLS:C0740476
CHEBI:4463	MONDO:0017816
CHEBI:28876	MONDO:0017816
CHEBI:42797	HP:0100247
CHEBI:107736	HP:0100247
CHEBI:187893	HP:0100247
CHEBI:3647	HP:0100247
UMLS:C0056562	HP:0011106
PUBCHEM.COMPOUND:23686432	UMLS:C0879626
UMLS:C0003015	UMLS:C0879626
UMLS:C0178601	UMLS:C0879626
UMLS:C1562036	UMLS:C0879626
CHEBI:7936	UMLS:C0879626
CHEBI:52717	UMLS:C0879626
CHEBI:27300	UMLS:C0879626
CHEBI:2663	UMLS:C0879626
UMLS:C1276996	UMLS:C0879626
UMLS:C0003364	UMLS:C0879626
UMLS:C0358591	UMLS:C0879626
UMLS:C0243077	UMLS:C0879626
CHEBI:31348	UMLS:C0879626
CHEBI:5931	UMLS:C0879626
UMLS:C0243076	UMLS:C0879626
CHEBI:3207	UMLS:C0879626
CHEBI:7465	UMLS:C0879626
CHEBI:7735	UMLS:C0879626
CHEBI:50694	UMLS:C0879626
CHEBI:50924	UMLS:C0879626
CHEBI:63631	UMLS:C0879626
CHEBI:6437	UMLS:C0879626
CHEBI:36064	UMLS:C0879626
CHEBI:36704	UMLS:C0879626
CHEBI:5138	UMLS:C0879626
UMLS:C0003297	UMLS:C0879626
CHEBI:6067	UMLS:C0879626
UMLS:C0040615	UMLS:C0879626
CHEBI:3387	UMLS:C0879626
UMLS:C0450442	UMLS:C0879626
UMLS:C0003299	UMLS:C0879626
UMLS:C0729502	UMLS:C0879626
CHEBI:2666	UMLS:C0879626
UMLS:C0003448	UMLS:C0879626
CHEBI:45783	UMLS:C0879626
CHEBI:9150	UMLS:C0879626
UMLS:C0162758	UMLS:C0879626
CHEBI:17967	MONDO:0021117
CHEBI:6909	UMLS:C0031094
UMLS:C1136254	UMLS:C0031094
CHEBI:127342	UMLS:C0865424
CHEBI:6887	UMLS:C0865424
UMLS:C0304402	UMLS:C0865424
UNII:2R27AB6766	MONDO:0019740
CHEBI:8776	UMLS:C0333295
CHEBI:17630	MONDO:0005861
CHEBI:45285	MONDO:0005861
CHEBI:63607	MONDO:0005861
CHEBI:63598	MONDO:0005861
CHEBI:2637	MONDO:0005861
CHEBI:47779	MONDO:0005861
CHEBI:3749	MONDO:0005861
CHEBI:63611	MONDO:0005861
CHEBI:194135	MONDO:0005861
CHEBI:40009	MONDO:0005861
UNII:1W306TDA6S	MONDO:0005861
CHEBI:72292	MONDO:0005861
CHEBI:4885	MONDO:0005861
UMLS:C0003448	MONDO:0005861
MESH:D000305	MONDO:0005554
CHEBI:8378	MONDO:0005554
UMLS:C0003209	MONDO:0005554
UMLS:C0003191	MONDO:0005554
UMLS:C0242708	MONDO:0005554
UMLS:C0003211	MONDO:0005554
CHEBI:48574	MONDO:0005554
CHEBI:5801	MONDO:0005554
CHEBI:50629	MONDO:0005554
CHEBI:49662	MONDO:0005554
CHEBI:44185	MONDO:0005554
CHEBI:3638	MONDO:0005554
CHEBI:6432	MONDO:0005554
UMLS:C0243076	MONDO:0005554
UMLS:C0003374	MONDO:0005554
CHEBI:15365	MONDO:0005554
CHEBI:35480	MONDO:0005554
CHEBI:7476	MONDO:0005554
CHEBI:9334	MONDO:0005554
UNII:OP401G7OJC	MONDO:0005554
PUBCHEM.COMPOUND:90470007	MONDO:0005554
CHEBI:35341	MONDO:0005554
CHEBI:8382	MONDO:0005554
CHEBI:24261	MONDO:0005554
CHEBI:4027	MONDO:0005554
UMLS:C0040616	MONDO:0005554
CHEBI:3897	MONDO:0005554
CHEBI:30050	MONDO:0005554
MESH:D007166	MONDO:0005554
UMLS:C1527392	MONDO:0005554
UMLS:C0005522	MONDO:0005554
CHEBI:47381	MONDO:0005554
UNII:4F4X42SYQ6	MONDO:0005554
CHEBI:5855	MONDO:0005554
UMLS:C0358591	UMLS:C0333291
CHEBI:50275	UMLS:C0333291
CHEBI:8776	UMLS:C0333291
CHEBI:28918	UMLS:C0333291
UMLS:C0002073	MONDO:0018177
CHEBI:131848	MONDO:0018177
CHEBI:75270	MONDO:0018177
CHEBI:61115	MONDO:0018177
CHEBI:4463	MONDO:0018177
CHEBI:63635	MONDO:0018177
CHEBI:52717	MONDO:0018177
UMLS:C0699680	MONDO:0018177
CHEBI:35610	MONDO:0018177
CHEBI:4911	MONDO:0018177
CHEBI:71417	MONDO:0018177
UMLS:C0243077	MONDO:0018177
UMLS:C1611640	MONDO:0018177
CHEBI:49668	MONDO:0018177
CHEBI:63632	MONDO:0018177
UMLS:C0034541	MONDO:0018177
CHEBI:45713	MONDO:0018177
CHEBI:39867	MONDO:0018177
CHEBI:50847	MONDO:0018177
UMLS:C0005525	MONDO:0018177
UMLS:C1268567	MONDO:0018177
CHEBI:28748	MONDO:0018177
UMLS:C1513403	MONDO:0018177
CHEBI:50924	MONDO:0018177
CHEBI:6801	MONDO:0018177
UMLS:C1443775	MONDO:0018177
UMLS:C0596087	MONDO:0018177
CHEBI:74947	MONDO:0018177
CHEBI:41423	MONDO:0018177
UMLS:C1511767	MONDO:0018177
PUBCHEM.COMPOUND:5460033	MONDO:0018177
UMLS:C0013162	MONDO:0018177
UMLS:C0003299	MONDO:0018177
UMLS:C0729502	MONDO:0018177
CHEBI:45783	MONDO:0018177
UMLS:C0003015	MONDO:0000490
CHEBI:16664	UMLS:C0019911
CHEBI:6704	UMLS:C0019911
CHEBI:2676	MONDO:0005771
PUBCHEM.COMPOUND:54671203	MONDO:0005771
CHEBI:2955	MONDO:0005771
CHEBI:50114	MONDO:0001410
MESH:D004164	UMLS:C0521170
CHEBI:2567	UMLS:C0521170
CHEBI:135983	UMLS:C0521170
CHEBI:9398	UMLS:C0341742
UMLS:C0001641	UMLS:C0341742
CHEBI:5062	UMLS:C0341742
CHEBI:35480	UMLS:C0234245
CHEBI:17295	MONDO:0016543
CHEBI:59560	MONDO:0016543
CHEBI:4315	UMLS:C0241880
CHEBI:3962	MONDO:0004790
UMLS:C0243077	MONDO:0004790
CHEBI:45713	MONDO:0004790
CHEBI:49040	MONDO:0004790
CHEBI:64073	MONDO:0004790
CHEBI:5001	MONDO:0004790
CHEBI:17750	MONDO:0004790
CHEBI:28364	MONDO:0004790
CHEBI:63599	MONDO:0016537
CHEBI:567361	MONDO:0016537
UNII:3A189DH42V	MONDO:0016537
UNII:4F4X42SYQ6	MONDO:0016537
CHEBI:6076	MONDO:0002041
UMLS:C0360363	MONDO:0002041
UMLS:C0243077	MONDO:0002041
MESH:D009822	MONDO:0002041
CHEBI:6923	MONDO:0002041
CHEBI:474180	MONDO:0002041
CHEBI:2682	MONDO:0002041
CHEBI:7660	MONDO:0002041
CHEBI:10023	MONDO:0002041
CHEBI:3764	MONDO:0002041
CHEBI:27779	MONDO:0002041
CHEBI:9448	MONDO:0002041
UMLS:C0718566	MONDO:0002041
UMLS:C0450442	MONDO:0002041
CHEBI:5100	MONDO:0002041
UMLS:C1136254	MONDO:0002041
UMLS:C0085795	MONDO:0002041
UMLS:C1268551	MONDO:0002041
CHEBI:47518	MONDO:0002041
CHEBI:27300	MONDO:0005047
UNII:8XA4VN1LH4	MONDO:0005047
CHEBI:50114	MONDO:0005047
UMLS:C0593802	MONDO:0005047
CHEBI:4315	MONDO:0005047
PUBCHEM.COMPOUND:21888462	MONDO:0005047
UMLS:C0015896	MONDO:0005047
CHEBI:3181	MONDO:0005047
CHEBI:6801	MONDO:0005047
CHEBI:17026	MONDO:0005047
CHEBI:24621	MONDO:0005047
CHEBI:18145	MONDO:0005047
PUBCHEM.COMPOUND:157010069	MONDO:0005047
MESH:D006062	MONDO:0005047
CHEBI:16469	MONDO:0005047
CHEBI:6413	MONDO:0005047
CHEBI:9463	MONDO:0005047
CHEBI:27470	MONDO:0005047
MESH:D054304	MONDO:0005047
CHEBI:41774	MONDO:0005047
CHEBI:81569	MONDO:0005047
UMLS:C0009905	MONDO:0005047
CHEBI:3752	MONDO:0005047
UNII:20ED16GHEB	MONDO:0005047
CHEBI:61049	MONDO:0013860
CHEBI:35341	MONDO:0013860
CHEBI:8382	MONDO:0013860
CHEBI:4027	MONDO:0013860
MESH:D007166	MONDO:0013860
CHEBI:28830	MONDO:0013860
UNII:4F4X42SYQ6	MONDO:0013860
CHEBI:4031	MONDO:0013860
CHEBI:6076	MONDO:0005984
UMLS:C0003308	MONDO:0005984
CHEBI:3764	MONDO:0005984
CHEBI:27779	MONDO:0005984
CHEBI:9448	MONDO:0005984
CHEBI:136007	NCIT:C148034
UMLS:C0027410	NCIT:C148034
CHEBI:3077	UMLS:C0406326
CHEBI:50749	UMLS:C0406326
CHEBI:63941	MONDO:0005974
CHEBI:16664	MONDO:0005974
CHEBI:45979	MONDO:0005974
PUBCHEM.COMPOUND:134664	HP:0032660
CHEBI:6931	HP:0032660
CHEBI:6121	HP:0032660
