source,target
CHEBI:3082,MONDO:0005338
CHEBI:3614,MONDO:0002508
UNII:6QVL057INT,UMLS:C5556695
CHEBI:5120,MONDO:0006882
CHEBI:86545,MONDO:0004739
UNII:4W0459ZA4V,MONDO:0005607
CHEBI:3077,MONDO:0011849
RXCUI:1090966,MONDO:0009412
CHEBI:27902,MONDO:0005688
RXCUI:1153890,HP:0012735
CHEBI:2955,MONDO:0005229
CHEBI:17650,MONDO:0043370
UNII:AD4J2O47FQ,UMLS:C4728082
CHEBI:194135,MONDO:0005249
CHEBI:90241,MONDO:0006474
CHEBI:50845,MONDO:0019359
CHEBI:5801,MONDO:0005920
CHEBI:3892,MONDO:0005301
UNII:50605O2ZNS,MONDO:0005300
CHEBI:50848,MONDO:0006651
PUBCHEM.COMPOUND:6918287,MONDO:0100193
CHEBI:4873,DOID:14275
CHEBI:6456,MONDO:0006042
CHEBI:41879,UMLS:C1320547
CHEBI:2682,MONDO:0016426
CHEBI:520985,MONDO:0005277
CHEBI:44185,MONDO:0005097
UNII:74T7185BMM,MONDO:0017287
CHEBI:41423,NCIT:C27003
CHEBI:144551,HP:0000011
CHEBI:47519,MONDO:0001628
CHEBI:9671,MONDO:0005155
CHEBI:136050,MONDO:0021201
UNII:9P1872D4OL,MONDO:0005147
UNII:T4H8FMA7IM,MONDO:0005187
PUBCHEM.COMPOUND:21966304,MONDO:0004785
CHEBI:3082,MONDO:0004979
CHEBI:204928,MONDO:0021201
UNII:4F4X42SYQ6,MONDO:0008383
CHEBI:5818,MONDO:0005379
UNII:QI30938BMS,MONDO:0004781
CHEBI:4856,HP:0040182
CHEBI:205919,MONDO:0006604
CHEBI:77776,MONDO:0001461
RXCUI:1992165,MONDO:0005015
UNII:789Q85GA8P,MONDO:0016695
CHEBI:5004,MONDO:0005178
CHEBI:84500,UMLS:C2586081
RXCUI:2639950,MONDO:0009688
UNII:513P80B4YJ,MONDO:0020332
CHEBI:6030,MONDO:0004608
RXCUI:1598470,MONDO:0011438
CHEBI:7824,MONDO:0005027
RXCUI:1090966,MONDO:0042976
CHEBI:8382,MONDO:0003085
CHEBI:31824,MONDO:0002118
CHEBI:41879,MONDO:0005306
UNII:9RV78Q2002,MONDO:0005011
CHEBI:9150,MONDO:0001336
RXCUI:284780,MONDO:0005016
CHEBI:60648,MONDO:0020920
CHEBI:32248,MONDO:0005867
PUBCHEM.COMPOUND:24783652,MONDO:0006652
CHEBI:135939,MONDO:0005754
HMDB:HMDB0257437,MONDO:0005494
CHEBI:37924,MONDO:0004951
UNII:52CMI0WC3Y,MONDO:0005105
CHEBI:27953,UMLS:C0151500
CHEBI:17786,MONDO:0018982
CHEBI:46859,MONDO:0001576
PUBCHEM.COMPOUND:24993045,MONDO:0005016
CHEBI:47519,MONDO:0001405
CHEBI:28241,HP:0001681
CHEBI:8500,UMLS:C4317089
CHEBI:3764,UMLS:C0280100
UNII:NU90V55F8I,MONDO:0008383
CHEBI:9123,MONDO:0002009
CHEBI:8378,MONDO:0005083
CHEBI:50305,MONDO:0005096
CHEBI:9328,MONDO:0006032
PUBCHEM.COMPOUND:69806533,MONDO:0004855
CHEBI:31348,UMLS:C4744564
CHEBI:3423,MONDO:0007959
PUBCHEM.COMPOUND:16218974,MONDO:0005477
CHEBI:31397,MONDO:0024332
UNII:3JB47N2Q2P,MONDO:0005011
CHEBI:6909,MONDO:0001103
UNII:9P1872D4OL,MONDO:0005148
RXCUI:1152833,HP:0003418
CHEBI:7601,MONDO:0001126
CHEBI:6437,HP:0032794
CHEBI:30769,MONDO:0001909
CHEBI:601027,MONDO:0005068
CHEBI:31760,MONDO:0005477
CHEBI:59594,MONDO:0005439
CHEBI:51173,HP:0012531
CHEBI:3732,MONDO:0021201
CHEBI:63619,UMLS:C0741292
CHEBI:50845,MONDO:0001246
CHEBI:63617,HP:0100660
CHEBI:92769,MONDO:0005252
UNII:420K487FSG,MONDO:0019082
CHEBI:6722,MONDO:0002447
CHEBI:42355,MONDO:0043885
CHEBI:2675,MONDO:0012048
CHEBI:76611,MONDO:0001627
CHEBI:50694,MONDO:0006019
CHEBI:41879,HP:0033841
CHEBI:140296,MONDO:0005015
CHEBI:5775,MONDO:0005044
CHEBI:8378,MONDO:0005883
CHEBI:83800,MONDO:0005155
CHEBI:5801,UMLS:C5554310
CHEBI:229212,MONDO:0003864
CHEBI:41879,HP:0012531
CHEBI:7601,MONDO:0007186
CHEBI:85993,UMLS:C0278488
CHEBI:50122,MONDO:0005148
CHEBI:17076,MONDO:0100338
PUBCHEM.COMPOUND:178438,UMLS:C0549398
CHEBI:38545,MONDO:0021187
CHEBI:6888,MONDO:0009691
CHEBI:16335,MONDO:0008685
PUBCHEM.COMPOUND:71300723,MONDO:0005002
RXCUI:404914,HP:0003119
CHEBI:8890,MONDO:0015274
UNII:I031V2H011,MONDO:0100096
CHEBI:4735,MONDO:0018019
CHEBI:68540,MONDO:0005301
CHEBI:16962,MONDO:0005178
CHEBI:453011,MONDO:0004609
CHEBI:16914,MONDO:0019272
DRUGBANK:DB10376,MONDO:0005271
CHEBI:3746,MONDO:0000744
CHEBI:474053,MONDO:0021839
CHEBI:68639,MONDO:0004956
MESH:C586502,MONDO:0005575
CHEBI:6950,MONDO:0002009
CHEBI:72317,MONDO:0015277
CHEBI:3215,MONDO:0005306
CHEBI:50211,MONDO:0007016
CHEBI:3757,EFO:0801084
CHEBI:6888,UMLS:C0149896
CHEBI:3077,MONDO:0005340
CHEBI:63613,MONDO:0004951
RXCUI:310870,HP:0033564
CHEBI:50848,UMLS:C0339164
CHEBI:31638,MONDO:0006512
DRUGBANK:DB09100,MONDO:0006982
PUBCHEM.COMPOUND:9829639,EFO:1001480
CHEBI:4466,MONDO:0000693
CHEBI:205919,MONDO:0005083
UNII:GNWE7KJ995,MONDO:0018922
CHEBI:50690,MONDO:0018328
UNII:0K5743G68X,MONDO:0013600
UMLS:C1529800,MONDO:0015924
CHEBI:31348,EFO:1001480
MESH:D000090984,MONDO:0100096
CHEBI:39585,MONDO:0005180
UNII:D87YGH4Z0Q,MONDO:0005347
UNII:O880NM097T,MONDO:0019124
CHEBI:66964,MONDO:0012268
CHEBI:22907,MONDO:0010150
DRUGBANK:DB09100,MONDO:0009718
CHEBI:3508,MONDO:0024355
CHEBI:50693,HP:0004308
CHEBI:16199,MONDO:0005083
CHEBI:8378,MONDO:0002771
PUBCHEM.COMPOUND:133611972,MONDO:0015943
CHEBI:26710,MONDO:0004568
RXCUI:1597375,MONDO:0005155
CHEBI:231601,MONDO:0000521
DRUGBANK:DB10666,MONDO:0005271
CHEBI:8378,MONDO:0015264
PUBCHEM.COMPOUND:139589551,MONDO:0005015
CHEBI:77733,MONDO:0006021
CHEBI:50694,MONDO:0019345
CHEBI:9667,MONDO:0043789
CHEBI:17650,MONDO:0019084
CHEBI:135935,NCIT:C27003
CHEBI:5801,MONDO:0001943
CHEBI:2453,NCIT:C141249
RXCUI:1043298,MONDO:0006873
CHEMBL.COMPOUND:CHEMBL2108334,MONDO:0100326
CHEBI:50131,MONDO:0019454
UNII:DPT0O3T46P,MONDO:0005580
CHEBI:50694,MONDO:0019095
UNII:N7T15V1FUY,MONDO:0012335
RXCUI:216653,MONDO:0005252
CHEBI:17026,UMLS:C3650625
RXCUI:343262,MONDO:0005015
CHEBI:209807,MONDO:0006887
UNII:52CMI0WC3Y,UMLS:C0278987
UNII:7XL5ISS668,MONDO:0004977
CHEBI:63611,MONDO:0001024
DRUGBANK:DB00028,MONDO:0015977
PUBCHEM.COMPOUND:13175121,MONDO:0010888
CHEBI:28304,MONDO:0005399
CHEBI:47519,MONDO:0005984
RXCUI:1999664,MONDO:0005109
UNII:DEW6X41BEK,MONDO:0005083
UNII:07730V90L6,MONDO:0005191
PUBCHEM.COMPOUND:67101,UMLS:C0278493
PUBCHEM.COMPOUND:9551858,MONDO:0011786
UNII:G8RGG88B68,MONDO:0005105
CHEBI:135934,MONDO:0006609
PUBCHEM.COMPOUND:53394049,MONDO:0005338
CHEBI:3485,UMLS:C0853854
CHEBI:16914,MONDO:0021036
UNII:BI009E452R,MONDO:0002243
CHEBI:50885,MONDO:0018479
CHEBI:6909,UMLS:C1622505
CHEBI:6710,UMLS:C0149896
CHEBI:47657,MONDO:0005002
CHEBI:16199,MONDO:0002884
CHEBI:26710,UMLS:C0342921
CHEBI:7986,MONDO:0005295
CHEBI:3534,MONDO:0006929
CHEBI:16469,UMLS:C0423747
CHEBI:51230,MONDO:0005338
CHEBI:90933,MONDO:0005090
CHEBI:4786,MONDO:0005252
UNII:961YV2O515,MONDO:0009688
CHEBI:28918,HP:0500095
CHEBI:3996,MONDO:0002081
CHEBI:6888,MONDO:0006572
CHEBI:46345,MONDO:0005173
CHEBI:73274,MONDO:0005148
CHEBI:144093,MONDO:0004956
CHEBI:3215,MONDO:0043455
CHEBI:6456,MONDO:0005314
CHEBI:34650,MONDO:0009061
CHEBI:29101,UMLS:C0161544
UNII:4B33BGI082,MONDO:0005420
CHEBI:77942,UMLS:C5192601
CHEBI:4464,MONDO:0006004
PUBCHEM.COMPOUND:53462828,MONDO:0002108
