drug,disease
CHEBI:194135,MONDO:0004264
CHEBI:29013,MONDO:0020920
CHEBI:39397,MONDO:0001794
CHEBI:2666,MONDO:0002050
CHEBI:63619,UMLS:C0741292
CHEBI:28748,MONDO:0008170
CHEBI:135324,UMLS:C0002915
CHEBI:291902,MONDO:0006805
CHEBI:3738,HP:0001742
CHEBI:133011,MONDO:0004264
CHEBI:27732,UMLS:C0037195
CHEBI:100241,UMLS:C0520775
CHEBI:32315,MONDO:0013600
CHEBI:209807,UMLS:C0276064
CHEBI:8107,MONDO:0005027
UNII:P85X70RZWS,MONDO:0005027
CHEBI:100241,MONDO:0005119
CHEBI:3994,MONDO:0005642
CHEBI:124991,UMLS:C1263758
CHEBI:9421,UMLS:C2887091
CHEBI:5109,UMLS:C0033777
CHEBI:34916,MONDO:0004525
CHEBI:134757,UMLS:C0002915
CHEBI:9667,MONDO:0006955
CHEBI:5001,MONDO:0021187
CHEBI:135602,HP:0012735
CHEBI:18012,MONDO:0005083
CHEBI:49668,UMLS:C1960925
UNII:306ERL82IR,MONDO:0005459
CHEBI:17076,MONDO:0005777
CHEBI:75037,MONDO:0005607
CHEBI:31990,HP:0033050
CHEBI:78538,HP:0030843
CHEBI:71219,MONDO:0005089
CHEBI:17076,MONDO:0005683
CHEBI:31206,HP:0012735
CHEBI:28689,MONDO:0001196
UNII:LKC0U3A8NJ,UMLS:C0342882
CHEBI:2676,UMLS:C0275804
CHEBI:8382,MONDO:0008383
CHEBI:135954,MONDO:0005492
CHEBI:8378,MONDO:0019558
CHEBI:59773,MONDO:0002308
CHEBI:59773,MONDO:0011786
CHEBI:8378,UMLS:C0345468
UNII:Q0XV76B96L,MONDO:0005178
CHEBI:135945,MONDO:0018908
CHEBI:63635,MONDO:0017409
CHEBI:31933,MONDO:0011786
CHEBI:64733,UMLS:C1959799
CHEBI:3756,MONDO:0016532
CHEBI:135756,MONDO:0005044
CHEBI:167600,MONDO:0004980
CHEBI:2788,UMLS:C1532338
CHEBI:7577,MONDO:0005044
UNII:CEGM9YBNGD,UMLS:C1282509
CHEBI:5543,UMLS:C0339932
CHEBI:41500,MONDO:0009376
CHEBI:2208,MONDO:0002334
CHEBI:42068,MONDO:0018874
CHEBI:47381,UMLS:C0877543
CHEBI:37941,MONDO:0005010
UNII:LKC0U3A8NJ,MONDO:0015905
CHEBI:27902,MONDO:0004277
CHEBI:28934,MONDO:0005298
CHEBI:28971,MONDO:0004789
CHEBI:52717,MONDO:0009693
CHEBI:32293,MONDO:0005417
CHEBI:93248,UMLS:C0041912
UNII:Q46947FE7K,MONDO:0005354
CHEBI:4907,MONDO:0005382
CHEBI:404903,UMLS:C0275550
CHEBI:3077,MONDO:0000004
CHEBI:146188,MONDO:0005148
CHEBI:6762,MONDO:0005324
UNII:NQX9KB6PCL,MONDO:0006909
CHEBI:31793,MONDO:0007186
CHEBI:6784,MONDO:0005133
CHEBI:5855,NCIT:C78302
UNII:PVI5M0M1GW,MONDO:0008090
CHEBI:50845,MONDO:0005834
CHEBI:2955,MONDO:0006668
CHEBI:135207,MONDO:0006004
CHEBI:63607,MONDO:0005545
CHEBI:135291,HP:0001681
CHEBI:2896,MONDO:0044212
CHEBI:114785,MONDO:0006047
CHEMBL.COMPOUND:CHEMBL3084722,MONDO:0011786
CHEBI:8382,MONDO:0005480
CHEBI:9215,MONDO:0004277
CHEBI:29013,UMLS:C0275652
CHEBI:116278,HP:0002783
CHEMBL.COMPOUND:CHEMBL3084722,MONDO:0004247
CHEBI:8232,DOID:50360
CHEBI:6539,MONDO:0016022
CHEBI:204734,UMLS:C0033777
CHEBI:27690,MONDO:0010826
CHEBI:60761,UMLS:C1306632
CHEBI:2956,UMLS:C0155860
UNII:RWM8CCW8GP,MONDO:0002586
CHEBI:94381,HP:0031246
CHEBI:71219,MONDO:0005086
UNII:21904A5386,UMLS:C4040491
CHEBI:6775,MONDO:0005011
CHEBI:6888,MONDO:0005480
UNII:21904A5386,MONDO:0004652
CHEBI:6846,MONDO:0005027
CHEBI:4356,UMLS:C0412842
CHEBI:45979,MONDO:0005654
UNII:F7BD3Z4X8L,UMLS:C4708071
CHEBI:9763,UMLS:C0275665
CHEBI:59773,MONDO:0002313
CHEBI:9667,MONDO:0011786
CHEBI:28001,MONDO:0006816
UNII:2NDX4B6N8F,MONDO:0018935
UNII:31YO63LBSN,MONDO:0005233
CHEBI:473990,MONDO:0005366
CHEBI:8713,MONDO:0005044
UNII:1MTK0BPN8V,MONDO:0100096
CHEBI:45783,MONDO:0011895
CHEBI:8067,MONDO:0011122
CHEBI:4995,MONDO:0005027
CHEBI:6375,MONDO:0005412
CHEBI:76154,MONDO:0008383
CHEBI:31677,MONDO:0019122
CHEBI:52010,HP:0025095
CHEBI:8378,MONDO:0043455
CHEBI:8378,MONDO:0007915
CHEBI:9667,MONDO:0011849
CHEBI:124991,UMLS:C0276026
CHEBI:135919,UMLS:C0581377
CHEBI:83168,MONDO:0006004
CHEBI:17650,MONDO:0005318
CHEBI:5106,MONDO:0011786
CHEBI:3510,UMLS:C0729586
CHEBI:4392,MONDO:0003781
CHEBI:31677,MONDO:0004126
CHEBI:136035,UMLS:C0152499
CHEBI:6538,HP:0031417
CHEBI:29013,UMLS:C0276089
CHEBI:474053,MONDO:0005247
CHEBI:63618,MONDO:0005098
CHEBI:16962,MONDO:0001875
CHEBI:6060,HP:0001681
CHEBI:27373,MONDO:0002406
UNII:2NU6F9601K,MONDO:0004976
CHEBI:5134,MONDO:0005480
CHEBI:46195,EFO:0010072
CHEBI:3347,MONDO:0005044
CHEBI:3077,UMLS:C0033777
CHEBI:5118,UMLS:C0520676
UNII:G43E72677U,MONDO:0000313
CHEBI:8382,MONDO:0015253
CHEBI:5790,HP:0012735
CHEBI:553473,UMLS:C1112209
CHEBI:17833,MONDO:0040732
CHEBI:17833,MONDO:0020920
CHEBI:50694,MONDO:0100338
CHEBI:4450,MONDO:0024574
UNII:CHL9B67L95,MONDO:0005233
CHEBI:27882,MONDO:0005393
GO:0061527,MONDO:0005302
